url,address,postCode,latitude,longitude,NumBeds,NumBaths,price,buildingStyle,buildingType,buildingDevelopment,buildingExteriorFinish,buildingFirePlace,buildingHeatingType,buildingHeatingFuel,buildingCoolingType,propertyOwnershipType,propertyType,parkingType,numParking
https://www.royallepage.ca/en/property/ontario/toronto/706-30-grand-trunk-cres/16190664/mlsc5364305/,"#706 -30 GRAND TRUNK CRES, Toronto, Ontario, M5J 3A4",M5J 3A4,0,0,2,2,799000,Apartment,,,Concrete,Yes,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/617-1135-royal-york-rd/16190594/mlsw5364367/,"#617 -1135 ROYAL YORK RD, Toronto, Ontario, M9A 0C3",M9A 0C3,0,0,2,2,780500,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/85-plum-tree-way/16190661/mlsc5364225/,"85 PLUM TREE WAY, Toronto, Ontario, M2R 3J1",M2R 3J1,0,0,3+1,2,777888,Townhouse,,,Brick,,Baseboard heaters,Electric,,Condominium/Strata,Single Family,Attached garage,2
https://www.royallepage.ca/en/property/ontario/toronto/317-75-queens-wharf-rd/16190604/mlsc5364603/,"#317 -75 QUEENS WHARF RD, Toronto, Ontario, M5V 0J8",M5V 0J8,0,0,2,2,775000,Apartment,,,,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/1604-15-legion-rd/16185809/mlsw5363822/,"#1604 -15 LEGION RD, Toronto, Ontario, M8V 0A9",M8V 0A9,0,0,2,2,769000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/18-yonge-st/16186243/mlsc5363589/,"18 YONGE ST, Toronto, Ontario, M5E 1Z8",M5E 1Z8,0,0,1+1,2,769000,Apartment,,,Concrete,,Forced air,Electric,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/2509-295-adelaide-st-w/16191553/mlsc5364509/,"#2509 -295 ADELAIDE ST W, Toronto, Ontario, M5V 0L4",M5V 0L4,0,0,2,2,769000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,
https://www.royallepage.ca/en/property/ontario/toronto/12-virgo-star-way/16186392/mlsc5363815/,"12 VIRGO STAR WAY, Toronto, Ontario, M2J 1N7",M2J 1N7,0,0,3,2,768800,Townhouse,,,Brick,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Attached garage,2
https://www.royallepage.ca/en/property/ontario/toronto/301-192-jarvis-st/16186181/mlsc5363829/,"#301 -192 JARVIS ST, Toronto, Ontario, M5B 2J9",M5B 2J9,0,0,2,2,759900,Apartment,,,Brick,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/406-298-jarvis-st/16191583/mlsc5364362/,"#406 -298 JARVIS  ST, Toronto, Ontario, M5B 2M4",M5B 2M4,0,0,2+1,2,740000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/2711-25-capreol-crt/16191058/mlsc5364808/,"#2711 -25 CAPREOL CRT, Toronto, Ontario, M5V 3Z7",M5V 3Z7,0,0,1+1,1,738000,Apartment,,,,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/304-10-de-boers-dr/16190518/mlsw5364559/,"#304 -10 DE BOERS DR, Toronto, Ontario, M3J 0L6",M3J 0L6,0,0,2,2,729900,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",2
https://www.royallepage.ca/en/property/ontario/toronto/1304-15-zorra-st-n/16190537/mlsw5364728/,"#1304 -15 ZORRA ST N, Toronto, Ontario, M8Z 4Z6",M8Z 4Z6,0,0,2+1,2,720000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/2612-30-grand-trunk-cres/16186186/mlsc5363848/,"#2612 -30 GRAND TRUNK CRES, Toronto, Ontario, M5J 3A4",M5J 3A4,0,0,1+1,1,719000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/1027-80-harrison-garden-blvd/16186191/mlsc5363878/,"#1027 -80 HARRISON GARDEN  BLVD, Toronto, Ontario, M2N 7E3",M2N 7E3,0,0,2,2,699900,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/810-18-concorde-pl/16193586/mlsc5365641/,"810-18 Concorde Pl, Toronto, ON, M3C 3T9",M3C 3T9,0,0,2,2,699900,Apartment,,,,,,,,,,Owned,1
https://www.royallepage.ca/en/property/ontario/toronto/207-2267-lake-shore-boulevard-w/16202617/mls40164259/,"207-2267 LAKE SHORE Boulevard W, Toronto, ON, M8V 3X2",M8V 3X2,0,0,1,1,699900,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/toronto/315-39-brant-st/16191701/mlsc5363965/,"#315 -39 BRANT ST, Toronto, Ontario, M5V 0M8",M5V 0M8,0,0,2,1,699000,Apartment,,,"Aluminum siding, Concrete",Yes,Heat Pump,,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/2216-155-beecroft-rd/16191060/mlsc5364747/,"#2216 -155 BEECROFT RD, Toronto, Ontario, M2N 7C6",M2N 7C6,0,0,2+1,2,699000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/2216-155-beecroft-rd/16191060/mlsc5364747/,"#2216 -155 BEECROFT RD, Toronto, Ontario, M2N 7C6",M2N 7C6,0,0,2+1,2,699000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/1403-1-michael-power-pl/16190592/mlsw5364360/,"#1403 -1 MICHAEL POWER PL, Toronto, Ontario, M9A 0A1",M9A 0A1,0,0,2,2,664999,Apartment,,,Brick,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/314-188-bonis-ave/16191313/mlse5364148/,"#314 -188 BONIS AVE, Toronto, Ontario, M1T 3W2",M1T 3W2,0,0,2,2,660000,Detached,,,"Concrete, Stucco",,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/1703-75-graydon-hall-dr/16191317/mlsc5364578/,"#1703 -75 GRAYDON HALL DR, Toronto, Ontario, M3A 3M5",M3A 3M5,0,0,3,2,659900,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,,1
https://www.royallepage.ca/en/property/ontario/toronto/1001-116-george-st/16190163/mlsc5365139/,"#1001 -116 GEORGE ST, Toronto, Ontario, M5A 3S2",M5A 3S2,0,0,1,1,659000,Apartment,,,"Brick, Concrete",,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/304-3865-lake-shore-blvd-w/16186422/mlsw5363923/,"#304 -3865 LAKE SHORE BLVD W, Toronto, Ontario, M8W 0A2",M8W 0A2,0,0,1+1,2,649900,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
